date,open,high,low,close,volume
2021-01-03,19.84,19.95,19.20,19.51,3863294
2021-01-04,19.43,19.62,19.12,19.25,7541036
2021-01-05,19.02,19.08,18.47,18.49,5514400
2021-01-06,18.43,18.68,18.22,18.51,3270557
2021-01-07,18.64,18.97,17.84,18.10,7661823
2021-01-10,18.03,18.49,17.89,18.19,7343531
2021-01-11,18.12,18.31,18.02,18.05,6002696
2021-01-12,18.06,18.21,17.48,17.70,4194602
2021-01-13,17.53,17.71,17.15,17.48,7801283
2021-01-14,17.66,18.33,17.61,18.15,3650883
2021-01-17,18.08,18.28,17.63,17.76,7471956
2021-01-18,17.93,18.24,17.88,18.12,5749412
2021-01-19,18.01,18.06,17.53,17.70,3656994
2021-01-20,17.81,17.92,17.18,17.46,3652540
2021-01-21,17.27,17.56,16.66,16.95,5671549
2021-01-24,16.77,16.95,16.61,16.74,2425831
2021-01-25,16.72,16.88,16.12,16.43,7470042
2021-01-26,16.25,16.73,16.02,16.59,5078782
2021-01-27,16.39,16.81,16.36,16.49,7534366
2021-01-28,16.36,17.01,16.31,16.84,3398929
2021-01-31,16.71,16.72,16.35,16.55,2033570
2021-02-01,16.59,17.00,16.34,16.88,7837593
2021-02-02,17.04,17.26,16.81,17.07,7533052
2021-02-03,17.01,17.08,16.89,16.93,2174224
2021-02-04,17.03,17.11,16.96,17.07,7812668
2021-02-07,16.86,17.56,16.73,17.30,3327107
2021-02-08,17.53,17.57,17.09,17.14,5851498
2021-02-09,17.17,17.20,16.99,17.13,7622803
2021-02-10,17.34,17.66,17.24,17.61,2135465
2021-02-11,17.59,17.66,17.38,17.58,7222070
2021-02-14,17.39,17.94,17.16,17.62,2022174
2021-02-15,17.64,17.94,17.44,17.74,5956491
2021-02-16,17.87,18.19,17.28,17.56,3456925
2021-02-17,17.76,18.12,17.54,18.09,5467800
2021-02-18,18.15,18.80,17.95,18.59,5019675
2021-02-21,18.33,18.68,18.05,18.35,7152463
2021-02-22,18.40,18.94,18.30,18.74,7263062
2021-02-23,18.54,18.91,18.41,18.71,5085590
2021-02-24,18.93,19.01,18.78,18.96,3749360
2021-02-25,18.69,18.97,18.42,18.45,6185030
2021-02-28,18.32,18.50,17.81,17.98,7149451
2021-03-01,18.13,18.22,17.86,17.98,4890503
2021-03-02,17.75,17.85,17.46,17.70,7491824
2021-03-03,17.84,18.16,17.71,18.01,2297986
2021-03-04,17.77,17.89,17.56,17.60,4857800
2021-03-07,17.76,17.91,17.51,17.90,7988731
2021-03-08,17.82,18.42,17.59,18.28,4170312
2021-03-09,18.18,18.19,17.92,18.19,4512433
2021-03-10,18.00,18.40,17.94,18.35,4340386
2021-03-11,18.20,18.39,18.05,18.37,2183838
2021-03-14,18.39,18.59,18.34,18.54,5755938
2021-03-15,18.78,19.42,18.57,19.12,7891498
2021-03-16,19.30,19.37,18.60,18.85,2310319
2021-03-17,18.98,19.52,18.79,19.45,2330114
2021-03-18,19.50,20.32,19.22,19.93,5708921
2021-03-21,20.08,20.30,19.62,19.73,7995344
2021-03-22,19.71,20.39,19.69,20.14,4842493
2021-03-23,20.42,21.10,20.19,20.93,5072773
2021-03-24,21.02,21.16,20.49,20.73,4701102
2021-03-25,20.68,21.40,20.38,21.09,3487603
2021-03-28,21.27,21.66,21.17,21.31,5087014
2021-03-29,21.21,21.71,20.89,21.53,7543365
2021-03-30,21.32,21.81,21.21,21.50,5880573
2021-03-31,21.65,22.03,21.60,21.87,5916498
2021-04-01,22.19,22.71,22.04,22.43,7044440
2021-04-04,22.39,22.84,22.23,22.79,7644832
2021-04-05,22.70,22.71,21.99,22.26,6182312
2021-04-06,22.54,22.98,22.29,22.80,4867727
2021-04-07,22.65,23.19,22.64,23.17,7354554
2021-04-08,23.51,24.23,23.49,23.92,4835912
2021-04-11,23.91,24.53,23.90,24.29,7419388
2021-04-12,24.14,24.54,23.26,23.53,7815658
2021-04-13,23.83,24.60,23.59,24.12,2891348
2021-04-14,24.26,24.31,23.37,23.76,5442585
